"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 18 04:53:31 GMT 2025","Fri Apr 18 04:53:32 GMT 2025","1165","","","","","","YB_TC_01_01_Test website navigation - Critical test","This is a test scenario to visit a website"
"passed","Fri Apr 18 04:53:30 GMT 2025","Fri Apr 18 04:53:31 GMT 2025","1122","","","","","","YA_TC_02_01_Test website navigation - Critical test","This is a test scenario to visit a website"
"passed","Fri Apr 18 04:53:30 GMT 2025","Fri Apr 18 04:53:31 GMT 2025","1141","","","","","","website navigation - Minor test","This is a test scenario to visit a website"
"passed","Fri Apr 18 04:53:25 GMT 2025","Fri Apr 18 04:53:30 GMT 2025","4735","","","","","","XA_TC_03_01_Test website navigation - Critical test","This is a test scenario to visit a website"
"passed","Fri Apr 18 04:53:25 GMT 2025","Fri Apr 18 04:53:30 GMT 2025","4631","","","","","","XA_TC_03_02_Test website navigation - Normal test","This is a test scenario to visit a website"
"passed","Fri Apr 18 04:53:31 GMT 2025","Fri Apr 18 04:53:33 GMT 2025","2243","","","","","","Login with valid credentials",""
